date,open,high,low,close,Volume
2016-03-08,95.3321,96.2591,94.9726,95.5686,31561889
2016-03-09,95.8334,96.0889,94.8497,95.6537,27201683
2016-03-10,95.928,96.7132,94.7362,95.701,33513577
2016-03-11,96.7132,96.751,96.0132,96.7321,27408237
2016-03-14,96.401,97.347,96.278,96.978,25076062
2016-03-15,98.3402,99.4942,98.2361,98.9267,40067734
2016-03-16,98.9551,100.5632,98.9361,100.2415,38303493
2016-03-17,99.8159,100.7145,99.2861,100.0807,34420705
2016-03-18,100.5915,100.7429,99.5037,100.1942,44205171
2016-03-21,100.2037,101.8307,99.4565,100.1848,35502678
2016-03-22,99.5605,101.4902,99.5226,100.951,32444375
2016-03-23,100.724,101.2821,100.1753,100.3929,25703495
2016-03-24,99.7686,100.5064,99.2199,99.9578,26132955
2016-03-28,100.2699,100.4496,99.3807,99.5037,19411372
2016-03-29,99.2199,101.9632,99.2105,101.8591,31190083
2016-03-30,102.7767,104.451,102.7294,103.6375,45601149
2016-03-31,103.7888,103.9591,102.9942,103.0983,25888449
2016-04-01,102.8996,104.0537,102.351,104.0442,25873950
2016-04-04,104.451,106.1253,104.3091,105.1131,37356204
2016-04-05,103.5902,104.7442,103.505,103.874,26578652
2016-04-06,104.2713,104.9807,103.2969,104.9618,26404077
2016-04-07,104.0064,104.451,102.2763,102.6726,31801870
2016-04-08,103.0226,103.8361,102.3226,102.7861,23581740
2016-04-11,103.0794,104.6307,102.9469,103.1267,29407518
2016-04-12,103.4294,104.5267,102.7861,104.4699,27232325
2016-04-13,104.8104,106.2672,104.8104,105.9834,33257316
2016-04-14,105.5861,106.3145,105.3118,106.0402,25473923
2016-04-15,106.0496,106.2294,103.7983,103.9118,46938969
2016-04-18,103.0037,103.0605,101.1591,101.6699,60821461
2016-04-19,102.0483,102.1618,100.4875,101.1307,32384879
2016-04-20,100.8753,102.2469,100.3267,101.3388,30611030
2016-04-21,101.1496,101.1496,99.8159,100.2415,31552525
2016-04-22,99.3334,100.724,98.9645,99.9672,33683121
2016-04-25,99.324,99.9388,98.8605,99.3997,28031588
2016-04-26,98.2929,99.6078,98.2929,98.7091,56016165
2016-04-27,90.8105,93.374,90.5078,92.5321,114602142
2016-04-28,92.3335,92.5889,89.1551,89.7037,82242690
2016-04-29,88.9092,89.5997,87.5092,88.6727,68531478
2016-05-02,88.8855,88.9943,87.4051,88.5781,48160104
2016-05-03,89.1078,90.5646,88.6159,90.0348,56831277
2016-05-04,90.0537,90.7159,88.7483,89.0983,41025475
2016-05-05,89.46,89.5266,88.2038,88.7367,35890500
2016-05-06,88.8604,88.9366,87.4139,88.2418,43699886
2016-05-09,88.5083,89.2411,88.1181,88.3085,32936436
2016-05-10,88.8224,89.0508,87.6613,88.908,33686836
2016-05-11,88.9651,89.0508,87.9944,88.042,28719109
2016-05-12,88.2418,88.2989,85.1488,85.9768,76314690
2016-05-13,85.6532,87.2426,85.6532,86.1481,44392765
2016-05-16,87.9278,89.8312,87.2235,89.3458,61259756
2016-05-17,89.9835,90.1262,88.5178,88.9747,46916939
2016-05-18,89.6123,90.6116,89.3553,89.993,42062391
2016-05-19,90.0691,90.0691,89.0508,89.6504,30442100
2016-05-20,90.0691,90.821,89.9549,90.6211,32025968
2016-05-23,91.2397,92.496,91.0494,91.7727,38018643
2016-05-24,92.5245,93.3525,92.1629,93.1717,35140174
2016-05-25,93.9045,94.9228,93.3715,94.8086,38642108
2016-05-26,94.8657,95.865,93.8759,95.5604,56331159
2016-05-27,94.6373,95.6175,94.4517,95.5033,36341240
2016-05-31,94.7896,95.5509,94.0472,95.037,42307212
2016-06-01,94.2376,94.7325,93.5809,93.7046,29173285
2016-06-02,92.8861,93.1146,91.963,93.0004,40191600
2016-06-03,93.067,93.5238,92.7434,93.1907,28504888
2016-06-06,93.2573,96.969,92.8386,93.8664,23292504
2016-06-07,94.4565,95.0465,94.1805,94.2471,22409450
2016-06-08,94.2376,94.7515,93.914,94.1614,20848131
2016-06-09,93.7427,95.1607,93.7046,94.8371,26601354
2016-06-10,93.7712,94.5475,93.7236,94.0567,31712936
2016-06-13,93.9235,94.3327,92.4103,92.6387,38020494
2016-06-14,92.6197,93.7189,92.0772,92.7529,31931944
2016-06-15,93.0955,93.657,92.3437,92.4484,29445227
2016-06-16,91.7917,93.0289,91.43,92.8386,31326815
2016-06-17,91.9535,91.982,90.6972,90.7258,61008219
2016-06-20,91.3634,91.9059,90.4403,90.5069,34411901
2016-06-21,90.3546,91.6965,90.1034,91.2778,35546358
2016-06-22,91.6014,92.2104,90.7448,90.9352,29219122
2016-06-23,91.3063,91.6394,90.6496,91.4586,32240187
2016-06-24,88.4227,90.0834,88.1752,88.889,75311356
2016-06-27,88.5083,88.5559,87.0808,87.5947,46622188
2016-06-28,88.4131,89.1364,87.6899,89.0698,40444914
2016-06-29,89.4315,89.9835,89.1079,89.8407,36531006
2016-06-30,89.8788,91.1445,89.7455,90.9827,35836356
2016-07-01,90.8781,91.806,90.7258,91.2587,26026540
2016-07-05,90.7829,90.7924,89.8978,90.4022,27705210
2016-07-06,90.031,91.0398,89.8122,90.9161,30949090
2016-07-07,91.0779,91.8393,91.0018,91.3063,25139558
2016-07-08,91.8298,92.2104,91.411,92.0106,28912103
2016-07-11,92.0772,92.9337,92.0582,92.2961,23794945
2016-07-12,92.4769,92.9813,92.4293,92.7148,24167463
2016-07-13,92.7053,92.9528,92.1629,92.1914,25892171
2016-07-14,92.6863,94.209,92.6197,94.0187,38918997
2016-07-15,94.1424,94.504,93.7427,94.0092,30136990
2016-07-18,93.933,95.294,93.8379,95.0084,36493867
2016-07-19,94.7515,95.1702,94.5421,95.0465,23779924
2016-07-20,95.1702,95.608,94.918,95.1322,26275968
2016-07-21,95.0084,96.1219,94.3423,94.6278,32702028
2016-07-22,94.466,94.504,93.5619,93.895,28313669
2016-07-25,93.5048,94.0663,92.239,92.6387,40382921
2016-07-26,92.1438,93.2383,91.7631,92.0011,56239822
2016-07-27,99.2292,99.3101,97.7874,97.9778,92344820
2016-07-28,97.8636,99.4053,97.854,99.3006,39869839
2016-07-29,99.1579,99.5005,98.6725,99.1769,27733688
2016-08-01,99.3672,101.0232,99.3672,100.928,38167871
2016-08-02,100.928,100.9471,98.977,99.4339,33816556
2016-08-03,99.7479,100.7282,99.7099,100.6806,30202641
2016-08-04,101.0251,101.4269,100.738,101.3025,27408650
2016-08-05,101.6853,103.0058,101.5992,102.8431,40553402
2016-08-08,102.8814,103.6947,102.5369,103.6947,28037220
2016-08-09,103.5607,104.2401,103.3502,104.1157,26315204
2016-08-10,104.02,104.2018,103.111,103.3407,24008505
2016-08-11,103.8382,104.2305,103.1971,103.2737,27484506
2016-08-12,103.1301,103.7617,103.1301,103.5129,18660434
2016-08-15,103.4746,104.8142,103.4172,104.7568,25868209
2016-08-16,104.9003,105.4744,104.4985,104.6611,33794448
2016-08-17,104.3932,104.6516,103.666,104.508,25355976
2016-08-18,104.5176,104.8716,104.3166,104.3741,21984703
2016-08-19,104.0774,104.9577,103.6851,104.642,25368072
2016-08-22,104.1636,104.3932,103.1971,103.8287,25820230
2016-08-23,103.9052,104.6037,103.8478,104.154,21257669
2016-08-24,103.8813,104.0583,103.0345,103.3694,23675081
2016-08-25,102.757,103.2258,102.0776,102.9292,25086248
2016-08-26,102.7761,103.2928,101.7236,102.3264,27766291
2016-08-29,102.0202,102.8048,101.7044,102.2116,24970300
2016-08-30,101.2356,101.9054,100.9485,101.4269,24863945
2016-08-31,101.1016,101.9723,101.0825,101.5226,29662406
2016-09-01,101.5609,102.1924,101.0633,102.1254,26701523
2016-09-02,103.0536,103.3407,102.2116,103.0823,26802450
2016-09-06,103.245,103.6277,102.8718,103.0536,26880391
2016-09-07,103.178,104.0679,102.4508,103.6851,42364328
2016-09-08,102.623,102.6422,100.6997,100.9676,53002026
2016-09-09,100.1256,101.159,98.6808,98.6808,46556984
2016-09-12,98.2215,101.159,98.1066,100.8911,45292770
2016-09-13,102.8718,104.0966,102.6134,103.2928,62176190
2016-09-14,104.0392,108.1536,103.9148,106.948,112340318
2016-09-15,108.9478,110.7372,108.5938,110.5841,90613177
2016-09-16,110.1535,111.1199,109.1201,109.9621,79886911
2016-09-19,110.2205,111.1677,108.3642,108.6799,47023046
2016-09-20,108.1728,109.1966,107.6561,108.6704,34514269
2016-09-21,108.9383,109.0713,107.5901,108.6512,36003185
2016-09-22,109.4167,109.9812,109.0818,109.6751,31073984
2016-09-23,109.4837,109.8377,106.7375,107.8475,52481151
2016-09-26,106.8236,108.4981,106.7375,108.0101,29869442
2016-09-27,108.1249,108.2972,107.4934,108.2111,24607412
2016-09-28,108.7852,109.6942,108.5364,109.034,29641085
2016-09-29,108.278,108.8904,106.9767,107.3403,35886990
2016-09-30,107.6082,108.479,106.9767,108.1728,36379106
2016-10-03,107.8475,108.1728,107.436,107.6656,21701760
2016-10-04,108.1824,109.3784,107.7709,108.1249,29736835
2016-10-05,108.5077,108.7565,107.8283,108.1728,21453089
2016-10-06,108.7947,109.4071,108.2493,108.9765,28779313
2016-10-07,109.3784,109.6176,108.6129,109.1392,24358443
2016-10-10,110.0578,111.7132,109.7707,111.0434,36235956
2016-10-11,112.6222,113.5695,111.1869,111.2826,64041043
2016-10-12,112.2873,112.8901,111.7132,112.2777,37586787
2016-10-13,111.7514,112.3734,110.7276,111.9332,35192406
2016-10-14,112.7944,113.0719,112.0768,112.5552,35652191
2016-10-17,112.2681,112.7561,111.7419,112.4786,23624896
2016-10-18,113.0815,113.1102,112.383,112.4021,24553478
2016-10-19,112.1916,112.6796,108.8904,112.0672,20034594
2016-10-20,111.8184,112.316,111.3113,112.0098,24125801
2016-10-21,111.7706,111.8663,111.2634,111.5696,23192665
2016-10-24,112.0481,112.6604,111.9524,112.5743,23538673
2016-10-25,112.8614,113.2537,112.249,113.1484,48128970
2016-10-26,109.3784,110.7085,108.4216,110.6032,66134219
2016-10-27,110.4118,110.8616,109.1775,109.5411,34562045
2016-10-28,108.9574,110.2396,108.5555,108.8139,37861662
2016-10-31,108.7469,109.3019,108.3163,108.6416,26419398
2016-11-01,108.5651,108.8617,105.7615,106.6801,43825812
2016-11-02,106.594,107.503,106.4313,106.7758,28331709
2016-11-03,106.7373,107.199,105.362,105.6313,26932602
2016-11-04,104.381,106.0352,103.977,104.6791,30836997
2016-11-07,105.8717,106.2853,105.2754,106.1891,32560000
2016-11-08,106.0929,107.449,105.5062,106.8142,24254179
2016-11-09,105.6794,107.0643,103.9193,106.6411,59176361
2016-11-10,106.8431,106.8431,101.7842,103.6693,57134541
2016-11-11,103.0249,104.708,102.4767,104.2848,34143898
2016-11-14,103.5923,103.6875,100.1011,101.6688,51175504
2016-11-15,102.4959,103.5635,102.1009,103.0153,32264510
2016-11-16,102.6209,106.016,102.5247,105.7852,58840522
